FLG,日付,TM,1回,2回,3回,4回,5回,6回,7回,8回,9回,10回,11回,12回,計,安,失
西武/ロッテ,04/14,西武,0,0,0,0,0,0,1,0,2,,,,3,7,0,
西武/ロッテ,04/14,ロッテ,0,0,0,0,0,1,1,0,0,,,,2,7,0,
日本ハム/楽天,04/14,日本ハム,0,1,0,0,1,0,0,0,0,,,,2,5,0,
日本ハム/楽天,04/14,楽天,0,0,1,1,1,0,0,0,,,,,3,13,0,
オリックス/ソフトバンク,04/15,オリックス,2,0,0,1,1,2,1,0,0,,,,7,13,2,
オリックス/ソフトバンク,04/15,ソフトバンク,0,0,3,0,0,1,0,0,2,,,,6,15,0,
ヤクルト/ＤｅＮＡ,04/15,ヤクルト,1,3,1,0,0,0,0,0,2,,,,7,11,0,
ヤクルト/ＤｅＮＡ,04/15,ＤｅＮＡ,0,0,0,1,0,0,0,0,1,,,,2,8,2,
巨人/中日,04/15,巨人,1,0,0,0,0,3,2,0,0,,,,6,12,1,
巨人/中日,04/15,中日,0,0,2,0,0,0,0,0,0,,,,2,7,0,
広島/阪神,04/15,広島,4,0,2,1,0,0,0,0,0,,,,7,12,0,
広島/阪神,04/15,阪神,0,0,0,0,1,0,0,0,0,,,,1,4,2,
西武/ロッテ,04/15,西武,0,0,0,0,0,0,0,0,0,,,,0,5,0,
西武/ロッテ,04/15,ロッテ,0,0,0,1,0,0,0,0,,,,,1,3,0,
日本ハム/楽天,04/15,日本ハム,0,0,0,0,0,0,1,1,0,,,,2,6,1,
日本ハム/楽天,04/15,楽天,0,0,0,0,1,2,0,1,,,,,4,10,1,
ヤクルト/ＤｅＮＡ,04/16,ヤクルト,0,0,2,0,0,1,0,0,0,,,,3,5,0,
ヤクルト/ＤｅＮＡ,04/16,ＤｅＮＡ,1,0,0,2,2,0,1,0,,,,,6,11,1,
巨人/中日,04/16,巨人,0,0,0,0,0,0,1,0,1,,,,2,9,1,
巨人/中日,04/16,中日,0,0,0,0,0,0,0,0,0,,,,0,7,0,
広島/阪神,04/16,広島,1,0,0,0,0,0,0,0,0,,,,1,6,0,
広島/阪神,04/16,阪神,0,0,1,0,0,0,0,1,,,,,2,4,0,
西武/ロッテ,04/16,西武,2,1,2,0,1,0,0,0,4,,,,10,16,0,
西武/ロッテ,04/16,ロッテ,0,0,0,0,0,0,0,2,0,,,,2,6,0,
日本ハム/楽天,04/16,日本ハム,0,0,0,2,1,0,0,0,0,0,,,3,10,2,
日本ハム/楽天,04/16,楽天,0,0,0,0,1,1,0,0,1,1,,,4,11,0,
ＤｅＮＡ/広島,04/18,ＤｅＮＡ,0,0,0,0,3,0,0,0,0,,,,3,9,0,
ＤｅＮＡ/広島,04/18,広島,0,0,0,0,1,1,0,0,2,,,,4,15,0,
オリックス/日本ハム,04/18,オリックス,0,0,0,1,0,1,0,0,1,,,,3,7,0,
オリックス/日本ハム,04/18,日本ハム,1,0,0,0,0,0,0,0,0,,,,1,8,1,
ソフトバンク/ロッテ,04/18,ソフトバンク,1,0,1,0,4,1,0,3,0,,,,10,15,1,
ソフトバンク/ロッテ,04/18,ロッテ,2,0,1,0,0,0,0,0,0,,,,3,5,1,
ヤクルト/巨人,04/18,ヤクルト,0,0,0,0,0,0,0,0,0,,,,0,3,1,
ヤクルト/巨人,04/18,巨人,1,0,0,0,1,0,0,1,,,,,3,10,0,
楽天/西武,04/18,楽天,0,1,0,0,1,0,0,0,0,,,,2,10,0,
楽天/西武,04/18,西武,0,0,0,0,0,0,0,0,0,,,,0,4,1,
阪神/中日,04/18,阪神,0,0,0,0,1,0,0,2,0,,,,3,10,2,
阪神/中日,04/18,中日,0,0,0,0,1,0,0,0,0,,,,1,8,0,
ＤｅＮＡ/広島,04/19,ＤｅＮＡ,0,0,0,2,0,1,0,0,1,,,,4,5,0,
ＤｅＮＡ/広島,04/19,広島,0,0,0,0,0,0,0,0,0,,,,0,1,0,
ソフトバンク/ロッテ,04/19,ソフトバンク,0,0,0,0,1,0,1,0,0,,,,2,5,0,
ソフトバンク/ロッテ,04/19,ロッテ,0,0,0,0,0,0,0,0,0,,,,0,4,0,
ヤクルト/巨人,04/19,ヤクルト,0,0,0,0,0,0,0,0,0,,,,0,8,1,
ヤクルト/巨人,04/19,巨人,1,0,0,0,0,0,0,0,,,,,1,8,0,
楽天/西武,04/19,楽天,1,1,0,0,1,0,1,0,0,0,0,0,4,11,1,
楽天/西武,04/19,西武,0,0,0,0,0,2,0,2,0,0,0,1,5,11,0,
阪神/中日,04/19,阪神,0,0,0,0,2,0,0,1,0,,,,3,7,1,
阪神/中日,04/19,中日,1,0,0,0,0,1,0,1,1,,,,4,10,0,
ＤｅＮＡ/広島,04/20,ＤｅＮＡ,0,1,0,0,0,0,2,0,0,2,,,5,7,0,
ＤｅＮＡ/広島,04/20,広島,0,0,0,0,0,0,3,0,0,0,,,3,8,1,
オリックス/日本ハム,04/20,オリックス,0,0,2,0,0,0,2,3,1,,,,8,14,0,
オリックス/日本ハム,04/20,日本ハム,1,0,0,0,0,0,0,0,3,,,,4,4,1,
ソフトバンク/ロッテ,04/20,ソフトバンク,0,0,0,0,1,0,0,0,3,,,,4,8,0,
ソフトバンク/ロッテ,04/20,ロッテ,0,0,0,0,0,0,0,0,0,,,,0,3,0,
阪神/中日,04/20,阪神,0,0,0,0,1,0,0,1,0,,,,2,8,0,
阪神/中日,04/20,中日,0,0,0,0,0,0,3,2,,,,,5,9,0,
楽天/ソフトバンク,04/21,楽天,1,1,0,0,1,0,0,0,0,0,0,0,3,6,1,
楽天/ソフトバンク,04/21,ソフトバンク,0,0,0,0,0,3,0,0,0,0,0,1,4,8,2,
広島/ヤクルト,04/21,広島,0,0,0,0,1,0,0,0,0,,,,1,7,0,
広島/ヤクルト,04/21,ヤクルト,0,1,0,1,1,0,0,0,,,,,3,6,0,
阪神/巨人,04/21,阪神,3,0,0,0,1,0,0,0,0,,,,4,10,1,
阪神/巨人,04/21,巨人,0,0,1,0,0,0,0,0,0,,,,1,5,0,
中日/ＤｅＮＡ,04/21,中日,0,0,0,1,0,0,0,0,1,0,0,0,2,7,1,
中日/ＤｅＮＡ,04/21,ＤｅＮＡ,0,1,0,0,0,0,0,1,0,0,0,0,2,8,0,
日本ハム/西武,04/21,日本ハム,0,0,0,0,0,0,0,0,0,,,,0,1,2,
日本ハム/西武,04/21,西武,2,0,2,2,0,1,0,2,,,,,9,11,2,
オリックス/ロッテ,04/22,オリックス,0,0,0,2,0,1,1,0,0,,,,4,11,1,
オリックス/ロッテ,04/22,ロッテ,0,2,0,1,0,0,0,0,0,,,,3,7,0,
楽天/ソフトバンク,04/22,楽天,3,0,1,2,0,2,1,0,2,,,,11,15,0,
楽天/ソフトバンク,04/22,ソフトバンク,0,0,0,0,0,0,1,0,1,,,,2,7,0,
広島/ヤクルト,04/22,広島,0,0,0,0,0,0,0,,,,,,0,2,0,
広島/ヤクルト,04/22,ヤクルト,0,0,0,0,0,1,0,,,,,,1,6,0,
阪神/巨人,04/22,阪神,1,0,0,0,0,0,0,0,0,,,,1,4,1,
阪神/巨人,04/22,巨人,0,0,2,0,0,0,1,1,,,,,4,6,0,
中日/ＤｅＮＡ,04/22,中日,1,0,0,0,0,2,0,0,1,,,,4,9,0,
中日/ＤｅＮＡ,04/22,ＤｅＮＡ,0,5,2,2,0,2,0,0,,,,,11,13,1,
日本ハム/西武,04/22,日本ハム,0,0,0,0,0,0,0,0,1,,,,1,6,1,
日本ハム/西武,04/22,西武,0,0,1,0,8,0,0,0,,,,,9,10,2,
オリックス/ロッテ,04/23,オリックス,0,0,0,0,0,0,0,0,0,,,,0,5,0,
オリックス/ロッテ,04/23,ロッテ,0,0,1,0,0,0,1,0,,,,,2,5,0,
楽天/ソフトバンク,04/23,楽天,0,0,0,2,0,0,0,0,0,,,,2,6,0,
楽天/ソフトバンク,04/23,ソフトバンク,0,0,0,0,0,0,0,1,0,,,,1,6,0,
広島/ヤクルト,04/23,広島,0,3,0,0,0,0,1,3,0,,,,7,11,0,
広島/ヤクルト,04/23,ヤクルト,0,3,1,0,0,0,0,0,0,,,,4,10,1,
阪神/巨人,04/23,阪神,1,0,1,0,0,0,0,0,0,,,,2,5,0,
阪神/巨人,04/23,巨人,0,0,1,0,0,0,0,0,0,,,,1,10,0,
中日/ＤｅＮＡ,04/23,中日,1,0,0,0,0,0,0,0,0,,,,1,6,0,
中日/ＤｅＮＡ,04/23,ＤｅＮＡ,0,0,0,0,0,0,0,0,0,,,,0,4,0,
日本ハム/西武,04/23,日本ハム,0,1,1,0,1,0,0,0,0,,,,3,11,1,
日本ハム/西武,04/23,西武,2,0,0,0,0,3,5,2,,,,,12,12,1,
ＤｅＮＡ/阪神,04/25,ＤｅＮＡ,1,0,0,0,0,0,0,0,0,,,,1,5,0,
ＤｅＮＡ/阪神,04/25,阪神,0,0,0,0,0,0,0,0,0,,,,0,3,0,
ヤクルト/中日,04/25,ヤクルト,0,0,0,0,0,0,0,2,0,,,,2,5,2,
ヤクルト/中日,04/25,中日,0,3,0,0,0,1,0,0,,,,,4,7,0,
ロッテ/楽天,04/25,ロッテ,0,0,0,1,0,0,0,1,0,,,,2,4,0,
ロッテ/楽天,04/25,楽天,1,1,0,1,0,0,0,1,,,,,4,8,0,
巨人/広島,04/25,巨人,0,0,0,1,0,0,0,0,0,,,,1,5,0,
巨人/広島,04/25,広島,0,0,0,0,0,0,0,0,0,,,,0,4,0,
西武/オリックス,04/25,西武,0,0,0,0,4,0,0,0,0,,,,4,7,0,
西武/オリックス,04/25,オリックス,3,0,1,0,1,0,0,0,,,,,5,8,3,
日本ハム/ソフトバンク,04/25,日本ハム,0,0,3,0,0,0,0,1,1,,,,5,10,1,
日本ハム/ソフトバンク,04/25,ソフトバンク,0,0,1,0,2,2,0,2,,,,,7,14,1,
ヤクルト/中日,04/26,ヤクルト,0,0,0,2,0,1,0,3,0,0,2,,8,15,0,
ヤクルト/中日,04/26,中日,0,2,0,1,2,0,1,0,0,0,1,,7,12,0,
ロッテ/楽天,04/26,ロッテ,0,0,0,0,0,0,1,0,6,,,,7,12,1,
ロッテ/楽天,04/26,楽天,0,2,4,0,0,2,3,0,,,,,11,14,2,
巨人/広島,04/26,巨人,1,2,0,0,0,0,2,0,1,,,,6,11,1,
巨人/広島,04/26,広島,0,1,0,2,0,3,1,0,,,,,7,9,0,
西武/オリックス,04/26,西武,0,0,0,0,0,3,0,0,0,,,,3,4,0,
西武/オリックス,04/26,オリックス,0,0,0,0,4,0,0,0,,,,,4,8,0,
日本ハム/ソフトバンク,04/26,日本ハム,0,0,0,0,0,0,1,0,0,,,,1,5,1,
日本ハム/ソフトバンク,04/26,ソフトバンク,4,0,0,0,0,0,0,0,,,,,4,9,0,
ＤｅＮＡ/阪神,04/27,ＤｅＮＡ,0,0,1,0,1,0,0,0,0,,,,2,7,0,
ＤｅＮＡ/阪神,04/27,阪神,3,1,0,0,0,0,1,0,,,,,5,10,1,
ヤクルト/中日,04/27,ヤクルト,0,0,0,0,0,0,0,0,0,,,,0,6,1,
ヤクルト/中日,04/27,中日,2,0,0,0,0,0,0,0,,,,,2,4,0,
巨人/広島,04/27,巨人,0,0,0,0,0,0,0,0,0,,,,0,4,0,
巨人/広島,04/27,広島,0,0,0,0,1,0,0,0,,,,,1,4,1,
西武/オリックス,04/27,西武,0,0,0,0,0,2,0,0,0,,,,2,7,2,
西武/オリックス,04/27,オリックス,1,0,0,1,0,0,0,0,1,,,,3,8,0,
日本ハム/ソフトバンク,04/27,日本ハム,0,0,0,0,0,0,2,0,0,3,,,5,6,0,
日本ハム/ソフトバンク,04/27,ソフトバンク,0,0,0,0,0,0,0,2,0,2,,,4,9,0,
ソフトバンク/オリックス,04/28,ソフトバンク,0,1,0,0,0,0,2,0,0,,,,3,11,0,
ソフトバンク/オリックス,04/28,オリックス,0,0,0,0,0,1,0,0,0,,,,1,4,1,
ロッテ/西武,04/28,ロッテ,0,0,0,0,0,2,0,0,0,0,0,0,2,4,5,
ロッテ/西武,04/28,西武,0,0,1,0,0,1,0,0,0,0,0,0,2,7,2,
巨人/ヤクルト,04/28,巨人,4,0,2,1,0,0,0,0,0,,,,7,12,0,
巨人/ヤクルト,04/28,ヤクルト,0,0,0,0,0,0,0,0,0,,,,0,9,0,
広島/ＤｅＮＡ,04/28,広島,0,1,0,0,0,2,0,0,0,,,,3,9,0,
広島/ＤｅＮＡ,04/28,ＤｅＮＡ,2,0,0,2,3,0,0,2,,,,,9,13,1,
中日/阪神,04/28,中日,0,0,0,0,0,0,0,0,0,,,,0,8,0,
中日/阪神,04/28,阪神,0,0,0,2,1,0,3,0,,,,,6,9,0,
ソフトバンク/オリックス,04/29,ソフトバンク,0,1,0,0,0,0,0,0,3,,,,4,9,0,
