自TM,相手TM,球場,日付,HA,ナ,先,順,途,交,CB,捕逸,代点,守備,名前,打率,打数,得点,安打,打点,三振,四死,犠打,盗塁,失策,本塁打,1回,2回,3回,4回,5回,6回,7回,8回,9回,10回,11回,12回
広島,ヤクルト,マツダスタジアム,4/9,0,0,5,5,,,0,0,0,(右),鈴木誠也,.333,4,0,1,1,3,0,0,0,0,0,見三振,,空三振,,,見三振,左安,,,,,
広島,ヤクルト,マツダスタジアム,4/9,0,0,6,6,,守,0,0,0,(左),エルドレッド,.385,3,0,0,1,0,0,0,0,0,0,,二飛,,中飛,,捕邪飛,左犠飛,,,,,
広島,ヤクルト,マツダスタジアム,4/9,0,0,,6,守,,0,0,0,捕,石原慶幸,.214,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
広島,ヤクルト,マツダスタジアム,4/9,0,0,7,7,,,0,0,0,(三),安部友裕,.250,3,0,0,0,2,1,0,1,0,0,,空三振,,四球,,空三振,遊飛,,,,,
広島,ヤクルト,マツダスタジアム,4/9,0,0,8,8,,走,0,0,0,(捕),會澤翼,.111,2,0,0,0,0,1,0,0,0,0,,右飛,,投飛,,,四球,,,,,
広島,ヤクルト,マツダスタジアム,4/9,0,0,,8,走,投,0,0,0,走,上本崇司,-,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,
広島,ヤクルト,マツダスタジアム,4/9,0,0,,8,投,打,0,0,0,投,ジャクソン,-,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
広島,ヤクルト,マツダスタジアム,4/9,0,0,,8,打,投,0,0,0,打,松山竜平,.000,1,0,0,0,0,0,0,0,0,0,,,,,,,,二飛,,,,
広島,ヤクルト,マツダスタジアム,4/9,0,0,,8,投,,0,0,0,投,中﨑翔太,-,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
広島,ヤクルト,マツダスタジアム,4/9,0,0,9,9,,打,0,0,0,(投),九里亜蓮,.250,2,0,0,0,1,0,0,0,0,0,,,見三振,一ゴロ,,,,,,,,
広島,ヤクルト,マツダスタジアム,4/9,0,0,,9,打,,0,0,0,打左,天谷宗一郎,.167,1,0,0,0,0,0,1,0,0,0,,,,,,,三犠打,二ゴロ,,,,
