自TM,相手TM,球場,日付,先,完投,完封,無四球,暴投,ボーク,基準,HA,ナ,回,攻撃,援護,分数,勝敗,名前,防御率,回数,打者,投球,安打,被本,三振,四死,失点,自責,T責除
ヤクルト,ＤｅＮＡ,神宮,4/1,1,0,0,0,0,0,10,0,0,9,5,1,5    ,●,小川泰弘,3.60,5,22,96,5,0,7,2,2,2,
ヤクルト,ＤｅＮＡ,神宮,4/1,,0,0,0,0,0,10,0,0,9,0,0,0 2/3,,ギルメット,54.00,0.2,7,26,4,0,0,1,4,4,
ヤクルト,ＤｅＮＡ,神宮,4/1,,0,0,0,0,0,10,0,0,9,0,0,0 1/3,,村中恭兵,0.00,0.1,2,6,0,0,0,1,0,0,
ヤクルト,ＤｅＮＡ,神宮,4/1,,0,0,0,0,0,10,0,0,9,1,0,1    ,,星知弥,0.00,1,3,14,0,0,2,0,0,0,
ヤクルト,ＤｅＮＡ,神宮,4/1,,0,0,0,0,0,10,0,0,9,1,0,1    ,,平井諒,0.00,1,5,16,1,0,1,1,0,0,
ヤクルト,ＤｅＮＡ,神宮,4/1,,0,0,0,0,0,10,0,0,9,1,0,1    ,,原樹理,0.00,1,3,16,0,0,1,0,0,0,
ヤクルト,ＤｅＮＡ,神宮,4/2,1,0,0,0,2,0,12,0,0,10,6,4,6    ,,オーレンドルフ,3.00,6,26,93,5,0,4,3,4,2,
ヤクルト,ＤｅＮＡ,神宮,4/2,,0,0,0,0,0,12,0,0,10,1,0,1    ,H,ルーキ,0.00,1,6,28,0,0,1,3,0,0,
ヤクルト,ＤｅＮＡ,神宮,4/2,,0,0,0,0,0,12,0,0,10,2,0,2    ,H,石山泰稚,0.00,2,9,41,1,0,4,2,0,0,
ヤクルト,ＤｅＮＡ,神宮,4/2,,0,0,0,0,0,12,0,0,10,1,0,1    ,○,秋吉亮,0.00,1,3,8,0,0,0,0,0,0,
ヤクルト,阪神,京セラD大阪,4/4,1,0,0,0,0,0,13,1,1,9,9,3,8    ,○,ブキャナン,1.13,8,31,116,5,1,5,2,1,1,
ヤクルト,阪神,京セラD大阪,4/4,,0,0,0,0,0,13,1,1,9,2,0,1    ,S,秋吉亮,0.00,1,5,20,2,0,0,0,0,0,
ヤクルト,阪神,京セラD大阪,4/5,1,0,0,0,0,0,15,1,1,9,7,1,6    ,,山中浩史,1.50,6,25,92,5,0,0,4,1,1,
ヤクルト,阪神,京セラD大阪,4/5,,0,0,0,0,0,15,1,1,9,1,0,0 2/3,●,ルーキ,10.13,0.2,7,40,3,1,2,2,3,3,
ヤクルト,阪神,京セラD大阪,4/5,,0,0,0,0,0,15,1,1,9,1,0,0    ,,中澤雅人,-,0,1,2,1,0,0,0,0,0,
ヤクルト,阪神,京セラD大阪,4/5,,0,0,0,0,0,15,1,1,9,2,0,1 1/3,,杉浦稔大,0.00,1.1,4,19,0,0,3,0,0,0,
ヤクルト,阪神,京セラD大阪,4/6,1,0,0,0,0,0,17,1,1,11,4,1,3    ,,館山昌平,12.00,3,16,57,6,0,1,1,4,4,
ヤクルト,阪神,京セラD大阪,4/6,,0,0,0,0,0,17,1,1,11,3,0,2    ,,原樹理,0.00,2,7,31,1,0,3,0,0,0,
ヤクルト,阪神,京セラD大阪,4/6,,0,0,0,0,0,17,1,1,11,2,0,1    ,H,星知弥,0.00,1,3,9,0,0,0,0,0,0,
ヤクルト,阪神,京セラD大阪,4/6,,0,0,0,0,0,17,1,1,11,2,0,1    ,H,ルーキ,7.36,1,4,18,1,0,1,0,0,0,
ヤクルト,阪神,京セラD大阪,4/6,,0,0,0,0,0,17,1,1,11,3,0,2    ,H,石山泰稚,0.00,2,6,22,0,0,1,0,0,0,
ヤクルト,阪神,京セラD大阪,4/6,,0,0,0,0,0,17,1,1,11,2,0,1    ,●,杉浦稔大,3.86,1,5,24,1,1,2,1,1,1,
ヤクルト,広島,マツダスタジアム,4/7,1,0,0,0,1,0,19,1,1,9,7,0,6    ,●,石川雅規,3.75,6,27,92,6,0,4,3,3,3,
ヤクルト,広島,マツダスタジアム,4/7,,0,0,0,0,0,19,1,1,9,2,0,1    ,,村中恭兵,0.00,1,3,11,0,0,1,1,0,0,
ヤクルト,広島,マツダスタジアム,4/7,,0,0,0,0,0,19,1,1,9,2,0,1    ,,土肥寛昌,9.00,1,6,19,2,0,1,1,1,1,
ヤクルト,広島,マツダスタジアム,4/8,1,0,0,0,0,0,21,1,0,9,8,0,7    ,●,小川泰弘,3.00,7,28,128,6,0,9,2,2,2,
ヤクルト,広島,マツダスタジアム,4/8,,0,0,0,0,0,21,1,0,9,2,0,1    ,,星知弥,0.00,1,3,10,0,0,1,0,0,0,
ヤクルト,広島,マツダスタジアム,4/9,1,0,0,0,0,0,23,1,0,9,7,2,6    ,,オーレンドルフ,2.25,6,25,115,5,0,6,2,1,1,
ヤクルト,広島,マツダスタジアム,4/9,,0,0,0,0,0,23,1,0,9,1,0,0 1/3,●,星知弥,0.00,0.1,5,21,1,0,0,1,4,0,
ヤクルト,広島,マツダスタジアム,4/9,,0,0,0,0,1,23,1,0,9,1,0,0 2/3,,ルーキ,8.31,0.2,4,9,2,0,0,0,1,1,-1
ヤクルト,広島,マツダスタジアム,4/9,,0,0,0,0,0,23,1,0,9,2,0,1    ,,秋吉亮,0.00,1,3,11,0,0,1,0,0,0,
ヤクルト,中日,神宮,4/12,1,0,0,0,0,0,28,0,1,10,7,2,7    ,,山中浩史,2.08,7,26,100,4,0,5,1,2,2,
ヤクルト,中日,神宮,4/12,,0,0,0,0,0,28,0,1,10,1,0,1    ,H,石山泰稚,0.00,1,3,12,1,0,2,0,0,0,
ヤクルト,中日,神宮,4/12,,0,0,0,0,0,28,0,1,10,1,0,1    ,H,秋吉亮,0.00,1,4,19,0,0,2,1,0,0,
ヤクルト,中日,神宮,4/12,,0,0,0,0,0,28,0,1,10,1,0,1    ,●,星知弥,6.23,1,6,31,3,1,1,0,3,3,
ヤクルト,中日,神宮,4/13,1,0,0,0,0,0,30,0,1,9,8,2,8    ,,ブキャナン,1.13,8,35,133,7,1,8,4,2,1,
ヤクルト,中日,神宮,4/13,,0,0,0,0,0,30,0,1,9,1,0,1    ,○,秋吉亮,0.00,1,3,6,0,0,0,0,0,0,
ヤクルト,ＤｅＮＡ,横浜,4/14,1,0,0,0,0,0,31,1,1,10,7,1,6    ,,石川雅規,3.50,6,24,116,5,1,6,1,2,2,
ヤクルト,ＤｅＮＡ,横浜,4/14,,0,0,0,0,0,31,1,1,10,2,0,1    ,,杉浦稔大,2.70,1,3,9,0,0,0,0,0,0,
ヤクルト,ＤｅＮＡ,横浜,4/14,,0,0,0,0,0,31,1,1,10,2,0,1    ,,石山泰稚,1.29,1,7,30,2,0,0,2,1,1,
ヤクルト,ＤｅＮＡ,横浜,4/14,,0,0,0,1,1,31,1,1,10,2,0,1 1/3,●,ルーキ,7.94,1.1,6,26,2,0,3,0,1,1,
ヤクルト,ＤｅＮＡ,横浜,4/15,1,0,0,0,0,0,33,1,0,9,9,7,8    ,○,小川泰弘,2.25,8,33,115,6,0,5,3,1,1,
ヤクルト,ＤｅＮＡ,横浜,4/15,,0,0,0,0,0,33,1,0,9,2,0,1    ,,原樹理,2.25,1,5,11,2,0,0,0,1,1,
ヤクルト,ＤｅＮＡ,横浜,4/16,1,0,0,0,0,0,35,1,0,9,5,2,4    ,●,オーレンドルフ,4.50,4,21,79,5,1,3,4,5,5,
ヤクルト,ＤｅＮＡ,横浜,4/16,,0,0,0,0,0,35,1,0,9,3,0,2 2/3,,原樹理,2.70,2.2,14,48,6,0,2,0,1,1,
ヤクルト,ＤｅＮＡ,横浜,4/16,,0,0,0,0,0,35,1,0,9,1,0,0 1/3,,ルーキ,7.50,0.1,1,7,0,0,1,0,0,0,
ヤクルト,ＤｅＮＡ,横浜,4/16,,0,0,0,0,0,35,1,0,9,2,0,1    ,,村中恭兵,0.00,1,3,9,0,0,0,0,0,0,
ヤクルト,巨人,熊本,4/18,1,0,0,0,0,0,37,1,1,9,8,0,7    ,●,山中浩史,2.25,7,29,107,9,0,6,0,2,2,
ヤクルト,巨人,熊本,4/18,,0,0,0,0,0,37,1,1,9,2,0,1    ,,村中恭兵,0.00,1,7,33,1,0,0,2,1,0,
ヤクルト,巨人,鹿児島,4/19,1,0,0,0,0,1,39,1,1,9,8,0,7    ,●,ブキャナン,0.78,7,27,103,7,0,5,1,1,0,
ヤクルト,巨人,鹿児島,4/19,,0,0,0,0,0,39,1,1,9,2,0,1    ,,石山泰稚,1.13,1,6,24,1,0,1,2,0,0,
ヤクルト,広島,神宮,4/21,1,0,0,0,0,0,42,0,1,8,7,3,7    ,○,石川雅規,2.88,7,25,113,6,1,8,1,1,1,
ヤクルト,広島,神宮,4/21,,0,0,0,0,0,42,0,1,8,1,0,1    ,H,石山泰稚,1.00,1,3,16,0,0,3,0,0,0,
ヤクルト,広島,神宮,4/21,,0,0,0,0,0,42,0,1,8,1,0,1    ,S,秋吉亮,0.00,1,4,17,1,0,1,0,0,0,
ヤクルト,広島,神宮,4/22,1,1,1,0,0,0,44,0,1,7,7,1,7    ,○,小川泰弘,1.67,7,27,112,2,0,5,4,0,0,
ヤクルト,広島,神宮,4/23,1,0,0,0,0,0,46,0,1,9,2,3,2    ,,オーレンドルフ,5.50,2,12,56,3,0,2,3,3,3,
ヤクルト,広島,神宮,4/23,,0,0,0,0,0,46,0,1,9,4,0,4    ,H,星知弥,3.24,4,15,56,4,0,1,0,0,0,
ヤクルト,広島,神宮,4/23,,0,0,0,0,0,46,0,1,9,1,0,1    ,,杉浦稔大,4.15,1,4,25,1,1,3,0,1,1,
ヤクルト,広島,神宮,4/23,,0,0,0,0,0,46,0,1,9,1,0,1    ,●,石山泰稚,2.70,1,8,27,3,0,2,0,3,2,
ヤクルト,広島,神宮,4/23,,0,0,0,0,0,46,0,1,9,1,0,1    ,,ルーキ,6.43,1,3,13,0,0,2,0,0,0,
ヤクルト,中日,豊橋,4/25,1,0,0,0,0,0,47,1,1,9,8,2,7    ,●,山中浩史,3.00,7,30,84,7,2,1,2,4,4,
ヤクルト,中日,豊橋,4/25,,0,0,0,0,0,47,1,1,9,2,0,1    ,,ルーキ,5.63,1,3,14,0,0,1,0,0,0,
ヤクルト,中日,ナゴヤドーム,4/26,1,0,0,0,0,0,49,1,1,11,6,3,5    ,,ブキャナン,2.25,5,22,80,7,1,4,2,5,5,
ヤクルト,中日,ナゴヤドーム,4/26,,0,0,0,1,0,49,1,1,11,2,0,1 2/3,,ギルメット,19.29,1.2,8,24,1,0,1,1,1,1,
ヤクルト,中日,ナゴヤドーム,4/26,,0,0,0,0,0,49,1,1,11,1,0,0 1/3,,杉浦稔大,3.86,0.1,2,9,1,0,1,0,0,0,
ヤクルト,中日,ナゴヤドーム,4/26,,0,0,0,0,0,49,1,1,11,2,0,1    ,H,石山泰稚,2.45,1,3,14,0,0,2,0,0,0,
ヤクルト,中日,ナゴヤドーム,4/26,,0,0,0,0,0,49,1,1,11,2,0,1    ,H,ルーキ,5.00,1,5,23,1,0,1,1,0,0,
ヤクルト,中日,ナゴヤドーム,4/26,,0,0,0,0,0,49,1,1,11,3,0,2    ,○,秋吉亮,1.00,2,8,28,2,0,2,0,1,1,
ヤクルト,中日,ナゴヤドーム,4/27,1,0,0,0,0,0,51,1,1,9,6,0,5    ,●,原樹理,2.31,5,20,82,3,0,5,2,2,1,
ヤクルト,中日,ナゴヤドーム,4/27,,0,0,0,0,0,51,1,1,9,3,0,2    ,,近藤一樹,0.00,2,7,33,1,0,3,0,0,0,
ヤクルト,中日,ナゴヤドーム,4/27,,0,0,0,0,0,51,1,1,9,2,0,1    ,,山本哲哉,0.00,1,3,12,0,0,0,0,0,0,
ヤクルト,巨人,神宮,4/28,1,0,0,0,0,0,54,0,1,9,4,0,4    ,●,石川雅規,4.66,4,24,92,9,2,4,3,7,7,
ヤクルト,巨人,神宮,4/28,,0,0,0,0,0,54,0,1,9,2,0,2    ,,ギルメット,10.38,2,6,20,0,0,3,0,0,0,
ヤクルト,巨人,神宮,4/28,,0,0,0,0,0,54,0,1,9,2,0,2    ,,近藤一樹,0.00,2,8,28,2,0,0,0,0,0,
